date,strategy,benchmark
2010-09-09,1000.0,1000.0
2010-09-10,1000.0,1004.5400620396583
2010-09-13,1000.0,1017.1732912456613
2010-09-14,1000.0,1016.9759299830612
2010-09-15,1000.0,1019.5420781967761
2010-09-16,1000.0,1019.1472803715905
2010-09-17,1000.0,1020.1342372845621
2010-09-20,1000.0,1036.7153694424376
2010-09-21,1000.0,1033.5570621409368
2010-09-22,1000.0,1028.0300431883068
2010-09-23,1000.0,1019.5420781967761
2010-09-24,1000.0,1034.7413803165084
2010-09-27,1000.0,1029.8065204516645
2010-09-28,1000.0,1036.5179328798517
2010-09-29,1000.0,1031.5830730150078
2010-09-30,1000.0,1030.00395701425
2010-10-01,1000.0,1033.5570621409368
2010-10-04,1000.0,1024.8716605868203
2010-10-05,1000.0,1047.374684822497
2010-10-06,1000.0,1045.5981322591538
2010-10-07,1000.0,1045.0058978713823
2010-10-08,1000.0,1052.901703775127
2010-10-11,1000.0,1051.1251512117838
2010-10-12,1000.0,1057.2444045521854
2010-10-13,1000.0,1063.561019155187
2010-10-14,1000.0,1059.6131162033143
2010-10-15,1000.0,1061.587030029258
2010-10-18,1000.0,1069.2853993704168
2010-10-19,1000.0,1052.3095446873415
2010-10-20,1000.0,1063.561019155187
2010-10-21,1000.0,1065.1401351559443
2010-10-22,1000.0,1067.7062833696593
2010-10-25,1000.0,1070.86459067116
2010-10-26,1000.0,1070.66722940856
2010-10-27,1000.0,1067.3114855444735
2010-10-28,1000.0,1068.101081194845
2010-10-29,1000.0,1068.8906768452166
2010-11-01,1000.0,1069.4828359330027
2010-11-02,1000.4986478695233,1077.7733643619474
2010-11-03,993.3459643296407,1082.3135017015916
2010-11-04,1022.6669180950423,1102.6451002487534
2010-11-05,1025.1603627516445,1106.9878010258117
2010-11-08,1034.9480784508155,1105.6059709876683
2010-11-09,1029.9120284628532,1096.9206447335378
2010-11-10,1032.3018960339487,1101.0659089480102
2010-11-11,1023.7252448779059,1097.5128038213238
2010-11-12,1020.196772625486,1083.8926177023488
2010-11-15,1014.16188352991,1082.9056607893772
2010-11-16,1006.6602693461039,1065.5349329811302
2010-11-17,1009.4482258873713,1066.3245286315018
2010-11-18,1026.011085928462,1082.1160651390055
2010-11-19,1034.982492728022,1084.6822133527205
2010-11-22,1034.01438041323,1083.6952564397488
2010-11-23,1036.3587285591816,1068.495879020031
2010-11-24,1053.1119564979654,1082.3135017015916
2010-11-26,1047.1312827425031,1076.19424836119
2010-11-29,1049.9255021187107,1075.2072914482183
2010-11-30,1036.4266958874643,1067.7062833696593
2010-12-01,1064.0689327037712,1091.7884236060938
2010-12-02,1082.6174095580943,1106.0007688128544
2010-12-03,1087.2869798654335,1108.7642782891694
2010-12-06,1088.516755408618,1107.3825235510117
2010-12-07,1090.3674777737388,1107.7773213761977
2010-12-08,1101.2959518500454,1112.317383415856
2010-12-09,1103.3479369883025,1116.462722930314
2010-12-10,1101.4862839602101,1123.1741353585014
2010-12-13,1095.7073554517776,1123.7662944462872
2010-12-14,1092.8319443715122,1124.358453534073
2010-12-15,1084.2417152009818,1119.423593669229
2010-12-16,1088.962324905035,1125.9376448348164
2010-12-17,1094.6274925658925,1127.516760835574
2010-12-20,1087.1820063939997,1129.8855477866887
2010-12-21,1096.6085331185427,1136.7943214774762
2010-12-22,1092.3428552678572,1140.9395856919484
2010-12-23,1091.2306484116825,1139.163033128605
2010-12-27,1092.380709930958,1134.8204076515326
2010-12-28,1087.0419030093094,1136.0047258271045
2010-12-29,1092.355206579562,1136.9916827400762
2010-12-30,1093.0873647843764,1135.2151301767328
2010-12-31,1093.5246795393507,1136.3995236522903
2011-01-03,1104.0918521189458,1147.0588390323499
2011-01-04,1097.377272028895,1146.0718821193782
2011-01-05,1102.7545474712133,1152.191060159794
2011-01-06,1097.9889812173706,1150.217146333851
2011-01-07,1101.0879203607267,1147.8484346827215
2011-01-10,1101.6358850537858,1146.8614024697642
2011-01-11,1104.9098131429755,1150.6119441590365
2011-01-12,1121.0729612314515,1160.8764617139104
2011-01-13,1119.6287764318674,1159.2972704131673
2011-01-14,1139.7064407817443,1167.5878741420977
2011-01-18,1141.6529656816251,1169.561787968041
2011-01-19,1115.9672389233672,1157.9155156750098
2011-01-20,1108.7722264819008,1156.5337609368523
2011-01-21,1108.9553653930147,1159.099909150567
2011-01-24,1141.8269226071002,1166.2061194039404
2011-01-25,1121.48697970092,1165.8113215787546
2011-01-26,1119.40205000176,1171.9304996191704
2011-01-27,1131.95572806031,1173.5096909199137
2011-01-28,1131.6650446040705,1152.7832945475657
2011-01-31,1149.710062784658,1161.6659820642965
2011-02-01,1168.2970868889743,1179.826305522915
2011-02-02,1193.044269731656,1177.852316396986
2011-02-03,1190.5545979979725,1180.8132624358866
2011-02-04,1183.9427387024252,1183.9715697373877
2011-02-07,1193.3400771159313,1191.4725778159466
2011-02-08,1190.6920186669938,1196.9995967685766
2011-02-09,1179.8764116072339,1194.0387260296613
2011-02-10,1191.2320869241532,1194.4334485548616
2011-02-11,1191.1323947278154,1201.9344566334205
2011-02-14,1196.9952098804285,1204.895402672321
2011-02-15,1185.9401981926662,1200.552701895263
2011-02-16,1202.0108539044097,1208.2510712364221
2011-02-17,1216.9405242021176,1212.7911332760802
2011-02-18,1221.67441529117,1214.7651224020092
2011-02-22,1184.4323632175974,1189.8933865152032
2011-02-23,1175.948977667605,1183.181974087016
2011-02-24,1181.1926241445,1181.9976559114443
2011-02-25,1178.7943318991715,1194.8282463800472
2011-02-28,1166.5698542169823,1201.9344566334205
