score,CAGR,TotalReturn,MaxDD,Sharpe,MAR,Bench_CAGR,lookbacks,weights,skip_recent,rebalance,n_positions_base,allow_two_when_spread,spread_threshold,abs_mom_gate_base,abs_mom_gate_scale_vol,max_weight_min,max_weight_max,cash_buffer_min,cash_buffer_max,use_regime,slow_down_in_chop,defensive_override,defensive_asset
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.70452580818592,0.2825607057012325,42.10806047961239,-0.2715278734021608,1.3210782582977556,1.0406324115488907,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,IAU
20.558385362382907,0.26999644017958624,36.1447476962048,-0.21382644884502322,1.3088372868468954,1.262689632821213,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.05,0.15,True,False,True,SHY
20.48344803125537,0.2806937204674025,41.16871383708575,-0.27152787329299954,1.3140829097693232,1.0337565608393813,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,True,0.8,0.9,0.05,0.15,True,False,True,IAU
20.47005073540658,0.27991985491611193,40.784987372529905,-0.26746803751480963,1.3247437914731983,1.046554412695434,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.08,0.15,True,False,True,IAU
20.47005073540658,0.27991985491611193,40.784987372529905,-0.26746803751480963,1.3247437914731983,1.046554412695434,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.08,0.15,True,False,True,IAU
20.47005073540658,0.27991985491611193,40.784987372529905,-0.26746803751480963,1.3247437914731983,1.046554412695434,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.08,0.15,True,False,True,IAU
19.942568710260446,0.2743042200619741,38.09658911576811,-0.26040615979285775,1.3214837949410412,1.0533707047489647,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.08,0.2,True,False,True,GLD
19.942568710260446,0.2743042200619741,38.09658911576811,-0.26040615979285775,1.3214837949410412,1.0533707047489647,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.08,0.2,True,False,True,GLD
19.942568710260446,0.2743042200619741,38.09658911576811,-0.26040615979285775,1.3214837949410412,1.0533707047489647,0.12754706819681783,"(84, 21, 7)","(0.4, 0.4, 0.2)",0,D,1,True,0.015,0.005,False,0.8,0.9,0.08,0.2,True,False,True,GLD
