date,symbol,side,qty,price,reason
2011-11-01,QQQ,BUY,273.8741,56.53130445785523,rebalance
2011-11-01,XLP,BUY,839.0867,30.536106686782837,rebalance
2011-11-01,XLU,BUY,732.6716,34.35686847381592,rebalance
2011-11-01,XLV,BUY,587.8575,32.936586305236816,rebalance
2011-11-01,XLY,BUY,377.3429,38.057609236907965,rebalance
2011-12-01,XLP,SELL,16.4271,31.953607084655765,rebalance
2011-12-01,XLU,SELL,5.6142,35.152967847442625,rebalance
2011-12-01,XLV,SELL,589.2489,33.79323923721313,rebalance
2011-12-01,QQQ,BUY,38.568,56.39127706832886,rebalance
2011-12-01,XLE,BUY,194.0083,70.69413630523681,rebalance
2011-12-01,XLU,BUY,0.0079,35.167031847381594,rebalance
2012-01-03,DIA,BUY,165.0371,123.96479044189454,rebalance
2012-01-03,XLU,SELL,121.1483,36.17276430511474,rebalance
2012-01-03,XLY,SELL,371.16,39.66206416931152,rebalance
2012-01-03,XLE,SELL,10.6688,70.58587847442627,rebalance
2012-01-03,XLP,SELL,21.6112,32.683460626983646,rebalance
2012-01-03,QQQ,SELL,306.5127,56.89861784744262,rebalance
2012-02-01,DIA,BUY,9.8529,127.09541369476318,rebalance
2012-02-01,XLU,SELL,182.3515,34.753046321868894,rebalance
2012-02-01,XLV,BUY,639.5126,35.917181847381585,rebalance
2012-02-01,XLE,SELL,181.6945,71.31573583068848,rebalance
2012-02-01,QQQ,SELL,5.8953,60.867825067901606,rebalance
2012-02-01,XLP,SELL,39.4425,32.15356784744263,rebalance
2012-03-01,DIA,SELL,174.4716,129.57408610229493,rebalance
2012-03-01,XLE,SELL,1.6377,75.19495708465575,rebalance
2012-03-01,XLV,SELL,90.4953,36.20275708465576,rebalance
2012-03-01,QQQ,BUY,245.3887,64.66293152618408,rebalance
2012-03-01,XLP,BUY,55.4254,33.25664999999999,rebalance
2012-03-01,XLU,BUY,319.2503,34.90698152618408,rebalance
2012-04-02,XLP,BUY,19.4856,34.0868178314209,rebalance
2012-04-02,XLV,BUY,6.628,37.61752261047363,rebalance
2012-04-02,QQQ,BUY,40.3685,67.49349935760497,rebalance
2012-04-02,XLK,BUY,663.659,30.156029618453978,rebalance
2012-04-02,XLE,SELL,0.0073,71.55568569488526,rebalance
2012-04-02,DIA,SELL,0.4191,131.53368555908202,rebalance
2012-04-02,XLU,SELL,743.0278,35.02299277954101,rebalance
2012-05-01,XLV,BUY,177.4657,37.447486626434326,rebalance
2012-05-01,QQQ,SELL,34.4451,66.67666444091796,rebalance
2012-05-01,XLK,SELL,104.995,29.794039237213134,rebalance
2012-05-01,XLP,SELL,32.3068,34.17316430511475,rebalance
2012-05-01,QQQ,BUY,0.036,66.70334044189454,rebalance
2012-05-01,XLK,BUY,0.0704,29.80595923690796,rebalance
2012-06-01,QQQ,SELL,17.7237,60.92781062698364,rebalance
2012-06-01,XLV,SELL,740.2783,35.79283923721313,rebalance
2012-06-01,QQQ,BUY,0.3256,60.952186626434326,rebalance
2012-06-01,XLK,BUY,50.4152,27.455490763092044,rebalance
2012-06-01,XLP,BUY,41.0989,33.46669108428955,rebalance
2012-06-01,XLU,BUY,801.7969,35.59711815261841,rebalance
2012-07-02,XLP,SELL,28.7951,34.62307506790161,rebalance
2012-07-02,XLP,BUY,0.1163,34.63692706832886,rebalance
2012-07-02,QQQ,BUY,6.6632,64.26284999999999,rebalance
2012-07-02,XLK,SELL,29.7004,28.804237466049194,rebalance
2012-07-02,XLU,SELL,34.0676,37.102578610229486,rebalance
2012-08-01,XLP,SELL,37.6933,35.78284291534423,rebalance
2012-08-01,XLU,SELL,35.9158,37.9924,rebalance
2012-08-01,QQQ,BUY,23.5007,65.27305413665772,rebalance
2012-08-01,XLK,BUY,9.2654,29.455890763092043,rebalance
2012-09-04,XLU,BUY,0.1566,36.297258915710444,rebalance
2012-09-04,QQQ,SELL,264.6527,68.01639277954101,rebalance
2012-09-04,XLK,SELL,65.4166,30.45390708465576,rebalance
2012-09-04,XLP,SELL,147.7459,35.5028963218689,rebalance
2012-09-04,XLU,SELL,94.8148,36.282742915344244,rebalance
2012-09-04,XLK,BUY,0.0643,30.466091084289552,rebalance
2012-09-04,XLV,BUY,703.2238,38.807759236907955,rebalance
2012-10-01,XLK,BUY,105.0662,30.95619076309204,rebalance
2012-10-01,XLV,BUY,11.0097,40.24804967880249,rebalance
2012-10-01,VOO,BUY,167.843,132.32646305236818,rebalance
2012-10-01,XLP,SELL,631.0149,35.83283215255737,rebalance
2012-10-01,XLU,SELL,636.4556,36.42271430511475,rebalance
2012-10-01,QQQ,BUY,270.7083,68.9137815261841,rebalance
2012-11-01,VOO,SELL,167.2478,129.694057220459,rebalance
2012-11-01,XLP,SELL,0.1757,35.45290708465576,rebalance
2012-11-01,XLU,SELL,0.6968,37.042589237213136,rebalance
