date,equity,benchmark
2010-09-09,100000.0,100000.0
2010-09-10,100000.0,100454.00620396582
2010-09-13,100000.0,101717.32912456612
2010-09-14,100000.0,101697.59299830612
2010-09-15,100000.0,101954.20781967761
2010-09-16,100000.0,101914.72803715905
2010-09-17,100000.0,102013.42372845621
2010-09-20,100000.0,103671.53694424375
2010-09-21,100000.0,103355.70621409366
2010-09-22,100000.0,102803.00431883067
2010-09-23,100000.0,101954.20781967761
2010-09-24,100000.0,103474.13803165084
2010-09-27,100000.0,102980.65204516644
2010-09-28,100000.0,103651.79328798517
2010-09-29,100000.0,103158.30730150077
2010-09-30,100000.0,103000.395701425
2010-10-01,100000.0,103355.70621409366
2010-10-04,100000.0,102487.16605868202
2010-10-05,100000.0,104737.46848224972
2010-10-06,100000.0,104559.8132259154
2010-10-07,100000.0,104500.58978713823
2010-10-08,100000.0,105290.17037751271
2010-10-11,100000.0,105112.51512117838
2010-10-12,100000.0,105724.44045521854
2010-10-13,100000.0,106356.1019155187
2010-10-14,100000.0,105961.31162033144
2010-10-15,100000.0,106158.70300292579
2010-10-18,100000.0,106928.53993704167
2010-10-19,100000.0,105230.95446873414
2010-10-20,100000.0,106356.1019155187
2010-10-21,100000.0,106514.01351559444
2010-10-22,100000.0,106770.62833696594
2010-10-25,100000.0,107086.459067116
2010-10-26,100000.0,107066.722940856
2010-10-27,100000.0,106731.14855444734
2010-10-28,100000.0,106810.1081194845
2010-10-29,100000.0,106889.06768452167
2010-11-01,100000.0,106948.28359330026
2010-11-02,100049.86488247932,107777.33643619473
2010-11-03,99334.59616791515,108231.35017015914
2010-11-04,102266.69252866195,110264.51002487534
2010-11-05,102516.03677267436,110698.78010258116
2010-11-08,103494.8100090214,110560.59709876684
2010-11-09,102991.20952347346,109692.06447335378
2010-11-10,103230.19417155074,110106.59089480102
2010-11-11,102372.5277013823,109751.28038213238
2010-11-12,102019.84117336344,108389.2617702349
2010-11-15,101416.35229230695,108290.56607893773
2010-11-16,100666.28309307506,106553.49329811301
2010-11-17,100945.07751339674,106632.45286315017
2010-11-18,102601.36135018623,108211.60651390057
2010-11-19,103498.53475562944,108468.22133527206
2010-11-22,103401.7841401728,108369.52564397488
2010-11-23,103636.72343424507,106849.5879020031
2010-11-24,105312.05658619064,108231.35017015914
2010-11-26,104714.02159923203,107619.424836119
2010-11-29,104993.97348253865,107520.72914482183
2010-11-30,103644.078835683,106770.62833696594
2010-12-01,106408.33888940522,109178.84236060937
2010-12-02,108263.2111726357,110600.07688128544
2010-12-03,108730.17685948843,110876.42782891693
2010-12-06,108853.15525560593,110738.25235510117
2010-12-07,109038.22685310364,110777.73213761977
2010-12-08,110131.09332556301,111231.7383415856
2010-12-09,110336.29592793979,111646.27229303139
2010-12-10,110150.12400365458,112317.41353585014
2010-12-13,109572.22213426356,112376.62944462872
2010-12-14,109284.68361769347,112435.84535340732
2010-12-15,108425.69666578874,111942.3593669229
2010-12-16,108897.75981878268,112593.76448348165
2010-12-17,109464.28392204233,112751.67608355738
2010-12-20,108719.72383818701,112988.55477866887
2010-12-21,109662.38852889974,113679.4321477476
2010-12-22,109235.9066943348,114093.95856919485
2010-12-23,109124.68865281854,113916.30331286052
2010-12-27,109239.85964041475,113482.04076515327
2010-12-28,108705.97025535606,113600.47258271044
2010-12-29,109237.35499076662,113699.1682740076
2010-12-30,109310.5719431802,113521.51301767328
2010-12-31,109354.30435175814,113639.95236522904
2011-01-03,110411.04967313677,114705.883903235
2011-01-04,109739.58228148677,114607.18821193783
2011-01-05,110277.44712029165,115219.1060159794
2011-01-06,109800.8821250025,115021.71463338508
2011-01-07,110110.78854475143,114784.84346827216
2011-01-10,110166.17029160238,114686.14024697643
2011-01-11,110493.56613429249,115061.19441590365
2011-01-12,112109.91787964788,116087.64617139104
2011-01-13,111965.70130713607,115929.72704131673
2011-01-14,113973.50780377658,116758.78741420977
2011-01-18,114168.16544753019,116956.17879680412
2011-01-19,111599.51426124733,115791.55156750098
2011-01-20,110880.6893592568,115653.37609368522
2011-01-21,110899.0019159852,115909.99091505671
2011-01-24,114186.26226837534,116620.61194039404
2011-01-25,112152.20746765923,116581.13215787547
2011-01-26,111943.70442795014,117193.04996191704
2011-01-27,113199.10590676898,117350.96909199137
2011-01-28,113170.0531756142,115278.32945475657
2011-01-31,114974.59507083679,116166.59820642965
2011-02-01,116833.33172065535,117982.6305522915
2011-02-02,119308.2454871657,117785.23163969861
2011-02-03,119059.27397761054,118081.32624358867
2011-02-04,118398.07334677683,118397.15697373876
2011-02-07,119337.83439862829,119147.25778159466
2011-02-08,119073.66988852716,119699.95967685764
2011-02-09,117992.06721392032,119403.87260296615
2011-02-10,119127.8331861108,119443.34485548615
2011-02-11,119117.86175945468,120193.44566334205
2011-02-14,119704.79615371911,120489.5402672321
2011-02-15,118599.24686742038,120055.2701895263
2011-02-16,120206.38297039137,120825.1071236422
2011-02-17,121699.41074474546,121279.11332760804
2011-02-18,122172.80877604747,121476.51224020093
2011-02-22,118448.41996531576,118989.33865152033
2011-02-23,117600.06341766946,118318.1974087016
2011-02-24,118124.43840104781,118199.76559114442
2011-02-25,117884.59069455022,119482.82463800472
2011-02-28,116662.1221483702,120193.44566334205
2011-03-01,114424.22101335191,118140.54215236727
2011-03-02,115573.73760729373,118476.11653877592
2011-03-03,117500.37960904403,120509.27639349211
2011-03-04,116773.61728971047,119621.00011182048
2011-03-07,114665.54340607933,118574.81223007309
2011-03-08,114226.42348910749,119680.22355059764
2011-03-09,113900.8443568014,119542.04807678188
2011-03-10,111321.68687489981,117350.96909199137
2011-03-11,111664.43716765042,118140.54215236727
2011-03-14,110610.83686473379,117449.66478328854
2011-03-15,110891.251753863,116146.86208016964
2011-03-16,108432.75037723499,113936.0469691191
2011-03-17,110109.64536583365,115357.28148979516
2011-03-18,109445.93798560469,115850.76747627957
2011-03-21,112344.66791607326,117607.58391336286
2011-03-22,111441.06162132483,117193.04996191704
2011-03-23,112213.31724580596,117568.10413084427
2011-03-24,112493.77239363432,118673.50792137026
2011-03-25,113269.31336160575,118495.85266503593
2011-03-28,113027.36240017724,118239.245373663
2011-03-29,113873.3678499498,119009.08230777891
2011-03-30,114765.53340664186,119818.39902441337
2011-03-31,115047.8040241886,119660.47989433905
2011-04-01,115038.28044240696,120213.18931960063
2011-04-04,114928.3547975097,120272.40522837921
2011-04-05,116264.2524444616,120272.40522837921
2011-04-06,115736.50461862383,120627.71574104787
2011-04-07,115205.18535935562,120410.58070219494
2011-04-08,114734.84179587537,119956.57449822914
2011-04-11,113798.2842170949,119542.04807678188
2011-04-12,113846.49938051811,118673.50792137026
2011-04-13,114314.23857499196,118712.98770388882
2011-04-14,115445.23109747848,118732.73136014742
2011-04-15,116879.09545951635,119147.25778159466
2011-04-18,115867.54533877884,117844.45507847576
2011-04-19,115418.49460084173,118574.81223007309
2011-04-20,117025.36294058684,120173.70953708205
2011-04-21,117335.81993013831,120706.67530608503
2011-04-25,116973.87655419478,120588.23595852927
2011-04-26,118607.72793690675,121634.42384027668
2011-04-27,121009.24778337663,122424.00443065116
2011-04-28,121366.99414808684,122818.79472583841
2011-04-29,120281.2069394193,123174.10523850705
2011-05-02,120185.25253412293,122897.746760877
2011-05-03,119457.93256469397,122502.96399568832
2011-05-04,118575.02400091832,121673.90362279526
2011-05-05,116878.59631763278,120607.97208478929
2011-05-06,118570.82376495341,121180.41763631087
2011-05-09,120438.47746520248,121673.90362279526
2011-05-10,121055.65578440434,122680.61925202265
2011-05-11,120311.70924212066,121377.81654890376
2011-05-12,122052.12256490138,122029.21413546393
2011-05-13,121547.71019806882,120963.28259745795
2011-05-16,120810.32133961315,120213.18931960063
2011-05-17,121294.34041367206,120193.44566334205
2011-05-18,122113.10026590791,121318.5931101266
2011-05-19,121441.82648209631,121476.51224020093
2011-05-20,121616.6664712356,120667.19552356644
2011-05-23,120331.4845519074,119226.21734663182
2011-05-24,120078.1808946014,119127.51412533606
2011-05-25,120880.18696313743,119522.30442052332
2011-05-26,121739.73568956733,119996.0542807477
2011-05-27,122198.72696369002,120529.0200497507
2011-05-31,123177.68646132169,121733.11953157384
2011-06-01,120602.4246041445,119028.8184340389
2011-06-02,121437.07877696323,118890.64296022317
2011-06-03,120365.55750057989,117745.7593871786
2011-06-06,118206.26442661117,116502.17259283831
2011-06-07,119351.99698142924,116344.25346276395
2011-06-08,119363.15068111742,115870.51113253814
2011-06-09,119268.01317742003,116758.78741420977
2011-06-10,117906.06081170222,115120.41032468225
2011-06-13,117099.41810688432,115199.36988971941
2011-06-14,116633.92354339143,116679.82784917261
2011-06-15,115713.76571544238,114646.66799445642
2011-06-16,115873.67404860274,114863.79550331076
2011-06-17,115738.74424916827,115179.62623346083
2011-06-20,116392.59694929776,115831.03135001955
2011-06-21,116461.40231990664,117410.18500076994
2011-06-22,115992.69369408618,116719.3076316912
2011-06-23,115885.53583129958,116324.51733650398
2011-06-24,114560.26721192029,114488.7488643821
2011-06-27,114602.78806012946,115455.98471109089
2011-06-28,114913.7924135293,116936.4426705441
2011-06-29,115041.20686462283,117982.6305522915
2011-06-30,115785.4548599937,119107.77799907606
2011-07-01,117659.44551354082,120904.06668867936
2011-07-05,118084.85593910079,120706.67530608503
2011-07-06,118687.79450707222,120884.33056241936
2011-07-07,120164.43368786619,122206.86939179826
2011-07-08,119956.81458850618,121377.81654890376
2011-07-11,117417.25856836943,119127.51412533606
2011-07-12,116565.57985924357,118594.55588633165
2011-07-13,116876.92741489864,119009.08230777891
2011-07-14,116362.22661974223,118239.245373663
2011-07-15,116430.59655522011,118890.64296022317
2011-07-18,116014.37118510183,117883.93486099436
2011-07-19,117850.77510452026,119798.65536815481
2011-07-20,117391.50877301987,119798.65536815481
2011-07-21,118865.55223333414,121397.55267516377
2011-07-22,118931.0323354622,121496.24836646093
2011-07-25,118967.10100709682,120805.3709973822
2011-07-26,118934.06977906219,120292.14135463921
2011-07-27,117466.89850230212,117903.67098725434
2011-07-28,117077.81145909578,117568.10413084427
2011-07-29,116192.56769867337,116660.08419291404
2011-08-01,118291.37523486113,116245.55777146682
2011-08-02,116659.14974438596,113343.85776133895
2011-08-03,116272.03895546877,113916.30331286052
2011-08-04,115734.79215801742,108586.65315282923
2011-08-05,116395.46871338035,108349.78198771633
2011-08-08,119677.22921685014,101401.49839441606
2011-08-09,120642.95283970243,105941.56796407288
2011-08-10,124384.01935033372,101342.28248563746
2011-08-11,121923.75813225999,105783.65636399711
2011-08-12,121360.22718267767,106632.45286315017
2011-08-15,122537.83632541711,108823.53184794071
2011-08-16,123836.27043423466,107895.77578375049
2011-08-17,124111.2163785548,108014.21513130622
2011-08-18,126169.78000150673,103533.361470428
2011-08-19,124211.70088949525,101559.41752449037
2011-08-22,127008.0290751483,101638.37708952754
2011-08-23,122675.72937519924,105151.99490369695
2011-08-24,125629.6658937314,106592.97308063161
2011-08-25,123918.00451742802,104994.07577362264
2011-08-26,123965.19329798805,106375.83804177868
2011-08-29,126382.6385940795,109474.92943450088
2011-08-30,126558.30880086904,109672.32834709377
