fitness,CAGR,TotalReturn,MaxDD,Sharpe,MAR,Bench_CAGR,Bench_MaxDD,turnover,n_positions,lookbacks,weights,skip_recent,rebalance,inv_vol,max_weight,ma_filter,regime,hedge,allow_short,leverage
2.9364071492259365,0.1897450865179766,12.840654088238336,-0.4333278931911273,0.751114804889478,0.4378787737864039,0.12754706819681783,-0.34301429483265344,0.32833946828899424,1,"(252, 84, 21)","(0.6, 0.3, 0.1)",0,M,True,0.4,False,both,gold,False,1.0
2.9364071492259365,0.1897450865179766,12.840654088238336,-0.4333278931911273,0.751114804889478,0.4378787737864039,0.12754706819681783,-0.34301429483265344,0.32833946828899424,1,"(252, 84, 21)","(0.6, 0.3, 0.1)",0,M,True,0.4,False,both,gold,False,1.0
2.3919087302494875,0.1821291084981289,11.559604502976862,-0.4436025542655958,0.6915113437013929,0.4105682141520847,0.12754706819681783,-0.34301429483265344,0.3066295299881621,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.6,False,none,tlt,False,1.0
2.3919087302494875,0.1821291084981289,11.559604502976862,-0.4436025542655958,0.6915113437013929,0.4105682141520847,0.12754706819681783,-0.34301429483265344,0.3066295299881621,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.6,False,none,tlt,False,1.0
2.3919087302494875,0.1821291084981289,11.559604502976862,-0.4436025542655958,0.6915113437013929,0.4105682141520847,0.12754706819681783,-0.34301429483265344,0.3066295299881621,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.6,False,none,tlt,False,1.0
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,False,0.4,False,vix,none,False,1.25
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,False,0.4,False,vix,none,False,1.25
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,False,0.4,False,vix,none,False,1.25
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,False,0.4,False,vix,none,False,1.25
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,True,0.25,False,vix,tlt,True,1.5
2.3186061273384766,0.18180934959887396,11.508322174988521,-0.4437236460440811,0.6892894331098137,0.409735544228383,0.12754706819681783,-0.34301429483265344,0.31076220128671367,1,"(252, 126, 63)","(0.6, 0.3, 0.1)",21,M,False,0.4,False,vix,none,False,1.25
