date,strategy,benchmark
2010-09-09,100000.0,100000.0
2010-09-10,100000.0,100454.00620396582
2010-09-13,100000.0,101717.32912456612
2010-09-14,100000.0,101697.59299830612
2010-09-15,100000.0,101954.20781967761
2010-09-16,100000.0,101914.72803715905
2010-09-17,100000.0,102013.42372845621
2010-09-20,100000.0,103671.53694424375
2010-09-21,100000.0,103355.70621409366
2010-09-22,100000.0,102803.00431883067
2010-09-23,100000.0,101954.20781967761
2010-09-24,100000.0,103474.13803165084
2010-09-27,100000.0,102980.65204516644
2010-09-28,100000.0,103651.79328798517
2010-09-29,100000.0,103158.30730150077
2010-09-30,100000.0,103000.395701425
2010-10-01,100000.0,103355.70621409366
2010-10-04,100000.0,102487.16605868202
2010-10-05,100000.0,104737.46848224972
2010-10-06,100000.0,104559.8132259154
2010-10-07,100000.0,104500.58978713823
2010-10-08,100000.0,105290.17037751271
2010-10-11,100000.0,105112.51512117838
2010-10-12,100000.0,105724.44045521854
2010-10-13,100000.0,106356.1019155187
2010-10-14,100000.0,105961.31162033144
2010-10-15,100000.0,106158.70300292579
2010-10-18,100000.0,106928.53993704167
2010-10-19,100000.0,105230.95446873414
2010-10-20,100000.0,106356.1019155187
2010-10-21,100000.0,106514.01351559444
2010-10-22,100000.0,106770.62833696594
2010-10-25,100000.0,107086.459067116
2010-10-26,100000.0,107066.722940856
2010-10-27,100000.0,106731.14855444734
2010-10-28,100000.0,106810.1081194845
2010-10-29,100000.0,106889.06768452167
2010-11-01,100000.0,106948.28359330026
2010-11-02,100000.0,107777.33643619473
2010-11-03,100000.0,108231.35017015914
2010-11-04,100000.0,110264.51002487534
2010-11-05,100000.0,110698.78010258116
2010-11-08,100000.0,110560.59709876684
2010-11-09,100000.0,109692.06447335378
2010-11-10,100000.0,110106.59089480102
2010-11-11,100000.0,109751.28038213238
2010-11-12,100000.0,108389.2617702349
2010-11-15,100000.0,108290.56607893773
2010-11-16,100000.0,106553.49329811301
2010-11-17,100000.0,106632.45286315017
2010-11-18,100000.0,108211.60651390057
2010-11-19,100000.0,108468.22133527206
2010-11-22,100000.0,108369.52564397488
2010-11-23,100000.0,106849.5879020031
2010-11-24,100000.0,108231.35017015914
2010-11-26,100000.0,107619.424836119
2010-11-29,100000.0,107520.72914482183
2010-11-30,100000.0,106770.62833696594
2010-12-01,100000.0,109178.84236060937
2010-12-02,100000.0,110600.07688128544
2010-12-03,100000.0,110876.42782891693
2010-12-06,100000.0,110738.25235510117
2010-12-07,100000.0,110777.73213761977
2010-12-08,100000.0,111231.7383415856
2010-12-09,100000.0,111646.27229303139
2010-12-10,100000.0,112317.41353585014
2010-12-13,100000.0,112376.62944462872
2010-12-14,100000.0,112435.84535340732
2010-12-15,100000.0,111942.3593669229
2010-12-16,100000.0,112593.76448348165
2010-12-17,100000.0,112751.67608355738
2010-12-20,100000.0,112988.55477866887
2010-12-21,100000.0,113679.4321477476
2010-12-22,100000.0,114093.95856919485
2010-12-23,100000.0,113916.30331286052
2010-12-27,100000.0,113482.04076515327
2010-12-28,100000.0,113600.47258271044
2010-12-29,100000.0,113699.1682740076
2010-12-30,100000.0,113521.51301767328
2010-12-31,100000.0,113639.95236522904
2011-01-03,100000.0,114705.883903235
2011-01-04,100000.0,114607.18821193783
2011-01-05,100000.0,115219.1060159794
2011-01-06,100000.0,115021.71463338508
2011-01-07,100000.0,114784.84346827216
2011-01-10,100000.0,114686.14024697643
2011-01-11,100000.0,115061.19441590365
2011-01-12,100000.0,116087.64617139104
2011-01-13,100000.0,115929.72704131673
2011-01-14,100000.0,116758.78741420977
2011-01-18,100000.0,116956.17879680412
2011-01-19,100000.0,115791.55156750098
2011-01-20,100000.0,115653.37609368522
2011-01-21,100000.0,115909.99091505671
2011-01-24,100000.0,116620.61194039404
2011-01-25,100000.0,116581.13215787547
2011-01-26,100000.0,117193.04996191704
2011-01-27,100000.0,117350.96909199137
2011-01-28,100000.0,115278.32945475657
2011-01-31,100000.0,116166.59820642965
2011-02-01,100000.0,117982.6305522915
2011-02-02,100000.0,117785.23163969861
2011-02-03,100000.0,118081.32624358867
2011-02-04,100000.0,118397.15697373876
2011-02-07,100000.0,119147.25778159466
2011-02-08,100000.0,119699.95967685764
2011-02-09,100000.0,119403.87260296615
2011-02-10,100000.0,119443.34485548615
2011-02-11,100000.0,120193.44566334205
2011-02-14,100000.0,120489.5402672321
2011-02-15,100000.0,120055.2701895263
2011-02-16,100000.0,120825.1071236422
2011-02-17,100000.0,121279.11332760804
2011-02-18,100000.0,121476.51224020093
2011-02-22,100000.0,118989.33865152033
2011-02-23,100000.0,118318.1974087016
2011-02-24,100000.0,118199.76559114442
2011-02-25,100000.0,119482.82463800472
2011-02-28,100000.0,120193.44566334205
2011-03-01,100000.0,118140.54215236727
2011-03-02,100000.0,118476.11653877592
2011-03-03,100000.0,120509.27639349211
2011-03-04,100000.0,119621.00011182048
2011-03-07,100000.0,118574.81223007309
2011-03-08,100000.0,119680.22355059764
2011-03-09,100000.0,119542.04807678188
2011-03-10,100000.0,117350.96909199137
2011-03-11,100000.0,118140.54215236727
2011-03-14,100000.0,117449.66478328854
2011-03-15,100000.0,116146.86208016964
2011-03-16,100000.0,113936.0469691191
2011-03-17,100000.0,115357.28148979516
2011-03-18,100000.0,115850.76747627957
2011-03-21,100000.0,117607.58391336286
2011-03-22,100000.0,117193.04996191704
2011-03-23,100000.0,117568.10413084427
2011-03-24,100000.0,118673.50792137026
2011-03-25,100000.0,118495.85266503593
2011-03-28,100000.0,118239.245373663
2011-03-29,100000.0,119009.08230777891
2011-03-30,100000.0,119818.39902441337
2011-03-31,100000.0,119660.47989433905
2011-04-01,100000.0,120213.18931960063
2011-04-04,100000.0,120272.40522837921
2011-04-05,100000.0,120272.40522837921
2011-04-06,100000.0,120627.71574104787
2011-04-07,100000.0,120410.58070219494
2011-04-08,100000.0,119956.57449822914
2011-04-11,100000.0,119542.04807678188
2011-04-12,100000.0,118673.50792137026
2011-04-13,100000.0,118712.98770388882
2011-04-14,100000.0,118732.73136014742
2011-04-15,100000.0,119147.25778159466
2011-04-18,100000.0,117844.45507847576
2011-04-19,100000.0,118574.81223007309
2011-04-20,100000.0,120173.70953708205
2011-04-21,100000.0,120706.67530608503
2011-04-25,100000.0,120588.23595852927
2011-04-26,100000.0,121634.42384027668
2011-04-27,100000.0,122424.00443065116
2011-04-28,100000.0,122818.79472583841
2011-04-29,100000.0,123174.10523850705
2011-05-02,100000.0,122897.746760877
2011-05-03,100000.0,122502.96399568832
2011-05-04,100000.0,121673.90362279526
2011-05-05,100000.0,120607.97208478929
2011-05-06,100000.0,121180.41763631087
2011-05-09,100000.0,121673.90362279526
2011-05-10,100000.0,122680.61925202265
2011-05-11,100000.0,121377.81654890376
2011-05-12,100000.0,122029.21413546393
2011-05-13,100000.0,120963.28259745795
2011-05-16,100000.0,120213.18931960063
2011-05-17,100000.0,120193.44566334205
2011-05-18,100000.0,121318.5931101266
2011-05-19,100000.0,121476.51224020093
2011-05-20,100000.0,120667.19552356644
2011-05-23,100000.0,119226.21734663182
2011-05-24,100000.0,119127.51412533606
2011-05-25,100000.0,119522.30442052332
2011-05-26,100000.0,119996.0542807477
2011-05-27,100000.0,120529.0200497507
2011-05-31,100000.0,121733.11953157384
2011-06-01,100000.0,119028.8184340389
2011-06-02,100000.0,118890.64296022317
2011-06-03,100000.0,117745.7593871786
2011-06-06,100000.0,116502.17259283831
2011-06-07,100000.0,116344.25346276395
2011-06-08,100000.0,115870.51113253814
2011-06-09,100000.0,116758.78741420977
2011-06-10,100000.0,115120.41032468225
2011-06-13,100000.0,115199.36988971941
2011-06-14,100000.0,116679.82784917261
2011-06-15,100000.0,114646.66799445642
2011-06-16,100000.0,114863.79550331076
2011-06-17,100000.0,115179.62623346083
2011-06-20,100000.0,115831.03135001955
2011-06-21,100000.0,117410.18500076994
2011-06-22,100000.0,116719.3076316912
2011-06-23,100000.0,116324.51733650398
2011-06-24,100000.0,114488.7488643821
2011-06-27,100000.0,115455.98471109089
2011-06-28,100000.0,116936.4426705441
2011-06-29,100000.0,117982.6305522915
2011-06-30,100000.0,119107.77799907606
2011-07-01,100000.0,120904.06668867936
2011-07-05,100000.0,120706.67530608503
2011-07-06,100000.0,120884.33056241936
2011-07-07,100000.0,122206.86939179826
2011-07-08,100000.0,121377.81654890376
2011-07-11,100000.0,119127.51412533606
2011-07-12,100000.0,118594.55588633165
2011-07-13,100000.0,119009.08230777891
2011-07-14,100000.0,118239.245373663
2011-07-15,100000.0,118890.64296022317
2011-07-18,100000.0,117883.93486099436
2011-07-19,100000.0,119798.65536815481
2011-07-20,100000.0,119798.65536815481
2011-07-21,100000.0,121397.55267516377
2011-07-22,100000.0,121496.24836646093
2011-07-25,100000.0,120805.3709973822
2011-07-26,100000.0,120292.14135463921
2011-07-27,100000.0,117903.67098725434
2011-07-28,100000.0,117568.10413084427
2011-07-29,100000.0,116660.08419291404
2011-08-01,100000.0,116245.55777146682
2011-08-02,100000.0,113343.85776133895
2011-08-03,100000.0,113916.30331286052
2011-08-04,100000.0,108586.65315282923
2011-08-05,100000.0,108349.78198771633
2011-08-08,100000.0,101401.49839441606
2011-08-09,100000.0,105941.56796407288
2011-08-10,100000.0,101342.28248563746
2011-08-11,100000.0,105783.65636399711
2011-08-12,100000.0,106632.45286315017
2011-08-15,100000.0,108823.53184794071
2011-08-16,100000.0,107895.77578375049
2011-08-17,100000.0,108014.21513130622
2011-08-18,100000.0,103533.361470428
2011-08-19,100000.0,101559.41752449037
2011-08-22,100000.0,101638.37708952754
2011-08-23,100000.0,105151.99490369695
2011-08-24,100000.0,106592.97308063161
2011-08-25,100000.0,104994.07577362264
2011-08-26,100000.0,106375.83804177868
2011-08-29,100000.0,109474.92943450088
2011-08-30,100000.0,109672.32834709377
2011-08-31,100000.0,110225.03024235676
2011-09-01,100000.0,109159.09870435079
2011-09-02,100000.0,106336.35825926012
2011-09-06,100000.0,105606.00110766279
2011-09-07,100000.0,108586.65315282923
2011-09-08,100000.0,107441.76957978467
2011-09-09,100000.0,104619.02913469399
2011-09-12,102315.42732442719,105369.12994254987
2011-09-13,103645.321935486,106237.66256796294
2011-09-14,104672.47957930963,107737.86418367474
2011-09-15,105796.94884836861,109593.36878205661
2011-09-16,105883.43982178018,110244.76636861678
2011-09-19,105569.88220272119,109218.32214312794
2011-09-20,106456.48273460366,109040.66688679364
2011-09-21,104585.97623236825,105744.17658147855
2011-09-22,101764.00715495659,102427.95014990345
2011-09-23,102488.42164478013,102329.25445860627
2011-09-26,103490.64419491758,104816.42051728832
2011-09-27,103866.35633122128,106020.52752911004
2011-09-28,102810.83370955475,103908.40810935666
2011-09-29,104460.71088103417,104658.50891721256
2011-09-30,103295.09151335267,102171.33532853196
2011-10-03,100824.16798169832,99032.7641532912
2011-10-04,100348.37648611555,101204.10701182172
2011-10-05,100426.85262379292,103217.53074027793
2011-10-06,102212.60151891087,105211.21081247555
2011-10-07,102627.8951975297,104401.89409584107
2011-10-10,104628.65547367225,107935.25556626906
